"Store #","Name","Description","Address","Interstate","Latitude/Longitude","Phone Number","Parking Spaces Count","Fuel Lane Count","Shower Count","Amenities","Restaurants"
30,Pilot Travel Center,"Welcome to Pilot Travel Center in Greenfield, IN!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","2640 N 600 W, Greenfield, IN, 46140","I-70, Exit 96","39.82150283618834, -85.91623097168883",(463) 388-0606,90,9,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring,
3,Pilot Travel Center,"Welcome to Pilot Travel Center in Youngstown, OH!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","1150 North Canfield Niles Road, Youngstown, OH, 44515","I-80, Exit 223","41.12874281677272, -80.76935871831589",(330) 505-3532,200,13,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring,McDonalds
118,Pilot Travel Center,"Welcome to Pilot Travel Center in Benton, AR!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","7801 Alcoa Rd, Benton, AR, 72019","I-30, Exit 121","34.6083708, -92.5334365",(501) 794-5900,76,8,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care,Subway
146,Pilot Travel Center,"Welcome to Pilot Travel Center in Castleton-On-Hudson, NY!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","995 US-9, Castleton-On-Hudson, NY, 12033","I-90, Exit 12","42.497923883051094, -73.67463536119345",(518) 732-7272,35,7,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station,Subway
154,Pilot Travel Center,"Welcome to Pilot Travel Center in Lost Hills, CA!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","14808 Warren St, Lost Hills, CA, 93249","I-5/CA-46, Exit 278","35.615131, -119.658782",(661) 797-2122,60,7,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring,Cinnabon | Wendy's
275,Pilot Travel Center,"Welcome to Pilot Travel Center in Charlotte, NC!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","3807 Statesville Ave, Charlotte, NC, 28206","I-85/77, Exit 39","35.2704815, -80.8381034",(704) 358-1006,31,7,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces,Subway
279,Pilot Travel Center,"Welcome to Pilot Travel Center in Rio Rico, AZ!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","769 E Frontage Rd, Rio Rico, AZ, 85648","I-19/AZ-289, Exit 12","31.430933704281088, -110.96196054038465",(520) 377-0001,90,7,11,Electric Vehicle Charging Station,Wendy's
309,Pilot Travel Center,"Welcome to Pilot Travel Center in Caldwell, OH!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","44133 Fairground Rd, Caldwell, OH, 43724","I-77, Exit 25","39.7375172, -81.5276703",(740) 732-5656,50,5,5,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring,Arby's
368,Pilot Travel Center,"Welcome to Pilot Travel Center in Decatur, IL!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","4030 E Boyd Rd, Decatur, IL, 62521","I-72, Exit 144","39.907519, -88.895694",(217) 876-0208,70,9,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,McDonalds
386,Pilot Travel Center,"Welcome to Pilot Travel Center in Salem, OR!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","4220 Brooklake Road NE, Salem, OR, 97305","I-5, Exit 263","45.04875945286386, -122.974879362258",(503) 463-1114,88,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring,Cinnabon | Subway | Taco Bell
390,Pilot Travel Center,"Welcome to Pilot Travel Center in Stanfield, OR!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","2115 S Hwy 395, Stanfield, OR, 97875","I-84, Exit 188","45.765959885274036, -119.20570871753203",(541) 449-1403,112,7,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,Cinnabon | McDonalds | Subway
412,Pilot Travel Center,"Welcome to Pilot Travel Center in White Pine, TN!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","3624 Roy Messer Hwy, White Pine, TN, 37890","I-81, Exit 4","36.108963277219395, -83.33399695833587",(865) 674-8570,130,9,10,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring,McDonalds
434,Pilot Travel Center,"Welcome to Pilot Travel Center in Fort Worth, TX!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","2400 Alliance Gateway Fwy, Fort Worth, TX, 76177","I-35, Exit 65","32.95772056313138, -97.307540815907",(817) 337-5324,181,9,12,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care,McDonalds | Subway
435,Pilot Travel Center,"Welcome to Pilot Travel Center in Anthony, TX!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","2015 Antonio St, Anthony, TX, 79821","I-10, Exit 0","31.99669374724544, -106.58611026983642",(915) 886-3090,79,9,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care,Wendy's
457,Pilot Travel Center,"Welcome to Pilot Travel Center in Beaver Dam, OH!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","427 East Main Street, Beaver Dam, OH, 45808","I-75, Exit 135","40.8339660627421, -83.9644058889723",(419) 643-6023,105,9,10,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care,McDonalds | Subway
473,Pilot Travel Center,"Welcome to Pilot Travel Center in Channahon, IL!

Pilot Travel Centers LLC operates the largest network of travel centers in North America with over 900 locations in the U.S. and Canada. Pilot serves more than 1.5 million professional truck drivers, RV, EV, and auto drivers each day, offering gasoline and diesel fuels, DEF, craveable food like pizza, wings, and breakfast sandwiches, snacks, drinks, and the best coffee on the interstate™. 

For pro drivers, amenities like overnight parking, reservable showers, laundry, Wi-Fi, and more make Pilot an essential part of the drive. 

The Pilot™ app also features mobile fueling, online ordering, and daily offers to save you money on the road. See You Out Here™","23841 W Eames St, Channahon, IL, 60410","I-55, Exit 248","41.457419491275054, -88.19226205158996",(815) 467-4455,25,4,0,Diesel Lanes | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring,Dunkin Donuts
